Strategy,Config,Operations,Est. Hours,Est. Days
Local Baseline (224px),1x Res,1376530,11.60468118266099,0.48352838261087455
Sliding Super (4x),896px area,1376530,10.926009796708822,0.45525040819620094
Tiled Super (4x),896px area,84997,0.6746515184491872,0.028110479935382803
Sliding Super (8x),1792px area,1376530,11.262574104703964,0.4692739210293318
Tiled Super (8x),1792px area,21002,0.1718353986814618,0.007159808278394242
