Configuration,Patch Size,Downscale,TV Score,Outlier Ratio,Plane RMSE
Current (224px @ 16x),224,16,2.097560975609756,0.32222222222222224,2.3747997990726453
Proposed (1792px @ 8x),1792,8,0.7931818181818182,0.045871559633027525,1.1253495886957114
Proposed (1792px @ 16x),1792,16,0.5867845117845119,0.04128440366972477,1.0477876775415031
Extreme (3584px @ 32x),3584,32,0.6720430107526881,0.04918032786885246,0.9731084141896086
