Downscale,Patch_Size,Tilt_X,Tilt_Y,RMSE,Point_Count
4,224,-0.3109685134827513,-0.0054498479266007135,2.5764696410411165,6215
4,448,-0.43583393478378507,-0.052911372202246995,2.162633087766172,1665
4,896,-0.15550145964625944,-0.41196670524394324,2.062987998436571,466
4,1792,-0.21970588976862873,-0.6594297174302874,1.9594771846489067,139
