Context_Size,MAE,Max_Error,Accuracy
224,1.6,4,0.16666666666666666
448,1.3666666666666667,5,0.26666666666666666
896,0.7,3,0.4666666666666667
1792,0.3333333333333333,3,0.7333333333333333
